Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,United states,GBR,0.651133978,0.608264131,0.840737796,0.775204971,1.021428484,1.060229099,0.943586897,1.028479689,1.029704324,0.948917657,0.96,0.85,0.97,0.93,1.14,1.35,1.55,1.84,2.79,3.38,3.67,4.44,4.77,6.02,7.36,8.61,8.6,9.7,10.99,12.24
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,India,IND,58.65285835,57.60479334,57.23056748,56.98336334,55.55718746,54.484117,53.7674097,52.4880731,52.71225571,51.7172937,46.88,47.11,45.75,45.63,44.92,44.16,43.16,41.53,39.37,37.41,36.16,35.01,34.75,34.85,33.85,33.4,33.02,32.41,32.82,32.93
