Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Agricultural land (% of land area),AG.LND.AGRI.ZS,United States,USA,48.66024,48.86024177,48.47613703,48.1979395,47.93251636,47.58979185,47.55452584,47.52799444,47.5812756,47.54328002,47.42896573,47.30886476,47.19968206,47.07958109,46.96581271,46.96581271,46.96581271,46.98470132,46.74799322,46.74799322,46.74799322,46.74799322,47.10130845,47.10130845,47.10130845,47.10130845,47.10130845,46.61533624,46.61533624,46.61533624,46.61533624,46.61533624,46.44948771,46.17860543,45.98109392,45.87191122,45.45341392,45.29826531,45.26583804,45.18930097,45.23058486,45.2900702,45.08487304,45.08032159,45.07580289,45.0712951,45.06684188,45.06234501,44.92002116,44.7062669,44.49251264,44.27875838,44.06499907,44.12468215,44.18436018,44.24402728,44.30370531,44.36336735,44.36336735,44.36336735,44.36336735
Agricultural land (% of land area),AG.LND.AGRI.ZS,India,IND,58.74319536,58.84319536,59.35779415,59.24747493,59.43515214,59.59154982,59.71027751,59.80344344,59.99078431,59.79839835,59.88584652,59.80680683,59.85019457,60.12094753,60.29954359,60.43811529,60.42298003,60.40347236,60.74014779,60.73611172,60.63251928,60.67590702,60.80035248,60.69642371,61.0293994,60.99172942,60.94195124,61.06000626,60.90798099,61.04588001,61.01628218,61.07446884,60.97995755,61.00585566,60.97524881,60.85887548,60.73913877,60.87098369,60.83499541,60.88443725,60.86896566,60.70483218,60.72938494,60.62478348,60.66716221,60.58341377,60.50941918,60.4132262,60.45930465,60.56390611,60.39741826,60.43004315,60.42062566,60.43946065,60.44955082,60.43172485,60.39909996,60.2839388,60.24356466,60.21981337,60.21985692
